TEAM,W,L,W/L%,GB,PW,PL,PS/G,PA/G,year
Portland Trail Blazers*,50,32,0.61,9,49,33,95.2,92.5,2004
Los Angeles Lakers*,50,32,0.61,9,48,34,100.4,98,2004
Phoenix Suns*,44,38,0.537,15,44,38,95.5,94.4,2004
Seattle SuperSonics,40,42,0.488,19,41,41,92.1,92.3,2004
Golden State Warriors,38,44,0.463,21,38,44,102.4,103.6,2004
Los Angeles Clippers,27,55,0.329,32,29,53,93.8,97.9,2004
New Jersey Nets*,47,35,0.573,0,49,33,90.3,87.8,2004
Miami Heat*,42,40,0.512,5,43,39,90.3,89.7,2004
New York Knicks*,39,43,0.476,8,36,46,92,93.5,2004
Boston Celtics*,36,46,0.439,11,37,45,95.3,96.7,2004
Philadelphia 76ers,33,49,0.402,14,33,49,88,90.5,2004
Washington Wizards,25,57,0.305,22,25,57,91.8,97.4,2004
Orlando Magic,21,61,0.256,26,22,60,94,101.1,2004
Indiana Pacers*,61,21,0.744,0,58,24,91.4,85.6,2004
Detroit Pistons*,54,28,0.659,7,59,23,90.1,84.3,2004
Milwaukee Bucks*,41,41,0.5,20,44,38,98,97,2004
New Orleans Hornets*,41,41,0.5,20,41,41,91.8,91.9,2004
Cleveland Cavaliers,35,47,0.427,26,33,49,92.9,95.5,2004
Toronto Raptors,33,49,0.402,28,31,51,85.4,88.5,2004
Atlanta Hawks,28,54,0.341,33,28,54,92.8,97.5,2004
Chicago Bulls,23,59,0.28,38,23,59,89.7,96,2004
Minnesota Timberwolves*,58,24,0.707,0,57,25,94.5,89.1,2004
San Antonio Spurs*,57,25,0.695,1,62,20,91.5,84.3,2004
Dallas Mavericks*,52,30,0.634,6,53,29,105.2,100.8,2004
Memphis Grizzlies*,50,32,0.61,8,48,34,96.7,94.3,2004
Houston Rockets*,45,37,0.549,13,47,35,89.8,88,2004
Denver Nuggets*,43,39,0.524,15,44,38,97.2,96.1,2004
Utah Jazz,42,40,0.512,16,37,45,88.7,89.9,2004
Los Angeles Lakers*,56,26,0.683,0,52,30,98.2,94.3,2004
Sacramento Kings*,55,27,0.671,1,55,27,102.8,97.8,2004
Portland Trail Blazers,41,41,0.5,15,37,45,90.7,92,2004
Golden State Warriors,37,45,0.451,19,39,43,93.3,94,2004
Seattle SuperSonics,37,45,0.451,19,39,43,97.1,97.8,2004
Phoenix Suns,29,53,0.354,27,30,52,94.2,97.9,2004
Los Angeles Clippers,28,54,0.341,28,28,54,94.8,99.4,2004
Miami Heat*,52,30,0.634,0,50,32,94.4,91.3,2005
New York Knicks*,50,32,0.61,2,46,36,92.1,90.7,2005
Philadelphia 76ers*,49,33,0.598,3,45,37,94.8,93.4,2005
Orlando Magic,41,41,0.5,11,43,39,100.1,99.4,2005
Boston Celtics,35,47,0.427,17,39,43,99.3,100.1,2005
New Jersey Nets,31,51,0.378,21,38,44,98,99,2005
Washington Wizards,29,53,0.354,23,32,50,96.6,99.9,2005
Indiana Pacers*,56,26,0.683,0,54,28,101.3,96.7,2005
Charlotte Hornets*,49,33,0.598,7,49,33,98.4,95.8,2005
Toronto Raptors*,45,37,0.549,11,41,41,97.2,97.3,2005
Milwaukee Bucks*,42,40,0.512,14,42,40,101.2,101,2005
Detroit Pistons*,42,40,0.512,14,45,37,103.5,102,2005
Cleveland Cavaliers,32,50,0.39,24,31,51,97,100.5,2005
Atlanta Hawks,28,54,0.341,28,26,56,94.3,99.7,2005
Chicago Bulls,17,65,0.207,39,15,67,84.8,94.2,2005
Utah Jazz*,55,27,0.671,0,54,28,96.5,92,2005
San Antonio Spurs*,53,29,0.646,2,58,24,96.2,90.2,2005
Minnesota Timberwolves*,50,32,0.61,5,48,34,98.5,96,2005
Dallas Mavericks,40,42,0.488,15,39,43,101.4,102,2005
Denver Nuggets,35,47,0.427,20,35,47,99,101.1,2005
Houston Rockets,34,48,0.415,21,39,43,99.5,100.3,2005
Vancouver Grizzlies,22,60,0.268,33,25,57,93.9,99.5,2005
Los Angeles Lakers*,67,15,0.817,0,64,18,100.8,92.3,2005
Portland Trail Blazers*,59,23,0.72,8,59,23,97.5,91,2005
Phoenix Suns*,53,29,0.646,14,56,26,98.9,93.7,2005
Seattle SuperSonics*,45,37,0.549,22,44,38,99.1,98.1,2005
Sacramento Kings*,44,38,0.537,23,49,33,105,102,2005
Golden State Warriors,19,63,0.232,48,20,62,95.5,103.8,2005
Los Angeles Clippers,15,67,0.183,52,13,69,92,103.5,2005
Philadelphia 76ers*,56,26,0.683,0,54,28,94.7,90.4,2005
Miami Heat*,50,32,0.61,6,48,34,88.9,86.6,2005
New York Knicks*,48,34,0.585,8,50,32,88.7,86.1,2005
Orlando Magic*,43,39,0.524,13,44,38,97.5,96.5,2005
Boston Celtics,36,46,0.439,20,35,47,94.6,96.8,2005
New Jersey Nets,26,56,0.317,30,26,56,92.1,97.1,2005
Washington Wizards,19,63,0.232,37,23,59,93.2,99.9,2005
Milwaukee Bucks*,52,30,0.634,0,52,30,100.7,96.9,2005
Toronto Raptors*,47,35,0.573,5,48,34,97.6,95.4,2005
Charlotte Hornets*,46,36,0.561,6,48,34,91.9,89.8,2005
Indiana Pacers*,41,41,0.5,11,40,42,92.6,92.8,2005
Detroit Pistons,32,50,0.39,20,36,46,95.6,97.3,2005
Cleveland Cavaliers,30,52,0.366,22,28,54,92.2,96.5,2005
Atlanta Hawks,25,57,0.305,27,26,56,91,96.2,2005
Chicago Bulls,15,67,0.183,37,16,66,87.6,96.7,2005
San Antonio Spurs*,58,24,0.707,0,63,19,96.2,88.4,2005
Utah Jazz*,53,29,0.646,5,55,27,97.1,92.4,2005
Dallas Mavericks*,53,29,0.646,5,53,29,100.5,96.2,2005
Minnesota Timberwolves*,47,35,0.573,11,45,37,97.3,96,2005
Houston Rockets,45,37,0.549,13,48,34,97.2,94.9,2005
Denver Nuggets,40,42,0.488,18,34,48,96.6,99,2005
Vancouver Grizzlies,23,59,0.28,35,25,57,91.7,97.5,2005
Los Angeles Lakers*,56,26,0.683,0,51,31,100.6,97.2,2005
Sacramento Kings*,55,27,0.671,1,57,25,101.7,95.9,2005
Phoenix Suns*,51,31,0.622,5,48,34,94,91.8,2005
Portland Trail Blazers*,50,32,0.61,6,53,29,95.4,91.2,2005
Seattle SuperSonics,44,38,0.537,12,41,41,97.3,97.3,2005
Los Angeles Clippers,31,51,0.378,25,32,50,92.5,95.3,2005
Golden State Warriors,17,65,0.207,39,17,65,92.5,101.5,2005
New Jersey Nets*,52,30,0.634,0,53,29,96.2,92,2005
Boston Celtics*,49,33,0.598,3,48,34,96.4,94.1,2005
Orlando Magic*,44,38,0.537,8,46,36,100.5,98.9,2005
Philadelphia 76ers*,43,39,0.524,9,46,36,91,89.4,2005
Washington Wizards,37,45,0.451,15,37,45,92.8,94.2,2005
Miami Heat,36,46,0.439,16,36,46,87.2,88.7,2005
New York Knicks,30,52,0.366,22,29,53,91.6,95.6,2005
Detroit Pistons*,50,32,0.61,0,48,34,94.3,92.2,2005
Charlotte Hornets*,44,38,0.537,6,44,38,93.9,92.9,2005
Indiana Pacers*,42,40,0.512,8,42,40,96.8,96.5,2005
Toronto Raptors*,42,40,0.512,8,40,42,91.4,91.8,2005
Milwaukee Bucks,41,41,0.5,9,40,42,97.5,97.7,2005
Atlanta Hawks,33,49,0.402,17,29,53,94,98.3,2005
Cleveland Cavaliers,29,53,0.354,21,31,51,95.3,98.6,2005
Chicago Bulls,21,61,0.256,29,18,64,89.5,98,2005
San Antonio Spurs*,58,24,0.707,0,59,23,96.7,90.5,2005
Dallas Mavericks*,57,25,0.695,1,53,29,105.2,101,2005
Minnesota Timberwolves*,50,32,0.61,8,51,31,99.3,96,2005
Utah Jazz*,44,38,0.537,14,44,38,96,95.1,2005
Houston Rockets,28,54,0.341,30,27,55,92.3,97.2,2005
Denver Nuggets,27,55,0.329,31,24,58,92.2,98,2005
Memphis Grizzlies,23,59,0.28,35,20,62,89.9,97.3,2005
Sacramento Kings*,61,21,0.744,0,61,21,104.6,97,2005
Los Angeles Lakers*,58,24,0.707,3,60,22,101.3,94.1,2005
Portland Trail Blazers*,49,33,0.598,12,50,32,96.6,93.7,2005
Seattle SuperSonics*,45,37,0.549,16,50,32,97.7,94.7,2005
Los Angeles Clippers,39,43,0.476,22,40,42,95.7,96.1,2005
Phoenix Suns,36,46,0.439,25,39,43,95.1,95.8,2005
Golden State Warriors,21,61,0.256,40,26,56,97.7,103.1,2005
New Jersey Nets*,49,33,0.598,0,56,26,95.4,90.1,2005
Philadelphia 76ers*,48,34,0.585,1,48,34,96.8,94.5,2005
Boston Celtics*,44,38,0.537,5,40,42,92.7,93.1,2005
Orlando Magic*,42,40,0.512,7,41,41,98.5,98.4,2005
New York Knicks,37,45,0.451,12,37,45,95.9,97.2,2005
Washington Wizards,37,45,0.451,12,38,44,91.5,92.5,2005
Miami Heat,25,57,0.305,24,25,57,85.6,90.6,2005
Detroit Pistons*,50,32,0.61,0,52,30,91.4,87.7,2005
Indiana Pacers*,48,34,0.585,2,51,31,96.8,93.3,2005
New Orleans Hornets*,47,35,0.573,3,47,35,93.9,91.8,2005
Milwaukee Bucks*,42,40,0.512,8,42,40,99.5,99.3,2005
Atlanta Hawks,35,47,0.427,15,31,51,94.1,97.6,2005
Chicago Bulls,30,52,0.366,20,27,55,95,100.1,2005
Toronto Raptors,24,58,0.293,26,24,58,90.9,96.8,2005
Cleveland Cavaliers,17,65,0.207,33,16,66,91.4,101,2005
San Antonio Spurs*,60,22,0.732,0,57,25,95.8,90.4,2005
Dallas Mavericks*,60,22,0.732,0,62,20,103,95.2,2005
Minnesota Timberwolves*,51,31,0.622,9,47,35,98.1,96,2005
Utah Jazz*,47,35,0.573,13,48,34,94.7,92.3,2005
Houston Rockets,43,39,0.524,17,46,36,93.8,92.3,2005
Memphis Grizzlies,28,54,0.341,32,32,50,97.5,100.7,2005
Denver Nuggets,17,65,0.207,43,17,65,84.2,92.4,2005
Sacramento Kings*,59,23,0.72,0,59,23,101.7,95.2,2005
Portland Trail Blazers*,50,32,0.61,9,49,33,95.2,92.5,2005
Los Angeles Lakers*,50,32,0.61,9,48,34,100.4,98,2005
Phoenix Suns*,44,38,0.537,15,44,38,95.5,94.4,2005
Seattle SuperSonics,40,42,0.488,19,41,41,92.1,92.3,2005
Golden State Warriors,38,44,0.463,21,38,44,102.4,103.6,2005
Los Angeles Clippers,27,55,0.329,32,29,53,93.8,97.9,2005
New Jersey Nets*,47,35,0.573,0,49,33,90.3,87.8,2005
Miami Heat*,42,40,0.512,5,43,39,90.3,89.7,2005
New York Knicks*,39,43,0.476,8,36,46,92,93.5,2005
Boston Celtics*,36,46,0.439,11,37,45,95.3,96.7,2005
Philadelphia 76ers,33,49,0.402,14,33,49,88,90.5,2005
Washington Wizards,25,57,0.305,22,25,57,91.8,97.4,2005
Orlando Magic,21,61,0.256,26,22,60,94,101.1,2005
Indiana Pacers*,61,21,0.744,0,58,24,91.4,85.6,2005
Detroit Pistons*,54,28,0.659,7,59,23,90.1,84.3,2005
Milwaukee Bucks*,41,41,0.5,20,44,38,98,97,2005
New Orleans Hornets*,41,41,0.5,20,41,41,91.8,91.9,2005
Cleveland Cavaliers,35,47,0.427,26,33,49,92.9,95.5,2005
Toronto Raptors,33,49,0.402,28,31,51,85.4,88.5,2005
Atlanta Hawks,28,54,0.341,33,28,54,92.8,97.5,2005
Chicago Bulls,23,59,0.28,38,23,59,89.7,96,2005
Minnesota Timberwolves*,58,24,0.707,0,57,25,94.5,89.1,2005
San Antonio Spurs*,57,25,0.695,1,62,20,91.5,84.3,2005
Dallas Mavericks*,52,30,0.634,6,53,29,105.2,100.8,2005
Memphis Grizzlies*,50,32,0.61,8,48,34,96.7,94.3,2005
Houston Rockets*,45,37,0.549,13,47,35,89.8,88,2005
Denver Nuggets*,43,39,0.524,15,44,38,97.2,96.1,2005
Utah Jazz,42,40,0.512,16,37,45,88.7,89.9,2005
Los Angeles Lakers*,56,26,0.683,0,52,30,98.2,94.3,2005
Sacramento Kings*,55,27,0.671,1,55,27,102.8,97.8,2005
Portland Trail Blazers,41,41,0.5,15,37,45,90.7,92,2005
Golden State Warriors,37,45,0.451,19,39,43,93.3,94,2005
Seattle SuperSonics,37,45,0.451,19,39,43,97.1,97.8,2005
Phoenix Suns,29,53,0.354,27,30,52,94.2,97.9,2005
Los Angeles Clippers,28,54,0.341,28,28,54,94.8,99.4,2005
Boston Celtics*,45,37,0.549,0,43,39,101.3,100.4,2005
Philadelphia 76ers*,43,39,0.524,2,39,43,99.1,99.9,2005
New Jersey Nets*,42,40,0.512,3,36,46,91.4,92.9,2005
New York Knicks,33,49,0.402,12,34,48,97.3,99.7,2005
Toronto Raptors,33,49,0.402,12,36,46,99.7,101.4,2005
Detroit Pistons*,54,28,0.659,0,53,29,93.3,89.5,2005
Chicago Bulls*,47,35,0.573,7,44,38,94.5,93.4,2005
Indiana Pacers*,44,38,0.537,10,43,39,93,92.2,2005
Cleveland Cavaliers,42,40,0.512,12,43,39,96.5,95.7,2005
Milwaukee Bucks,30,52,0.366,24,32,50,97.2,100.2,2005
Miami Heat*,59,23,0.72,0,59,23,101.5,95,2005
Washington Wizards*,45,37,0.549,14,40,42,100.5,100.8,2005
Orlando Magic,36,46,0.439,23,35,47,99.5,101.8,2005
Charlotte Bobcats,18,64,0.22,41,24,58,94.3,100.2,2005
Atlanta Hawks,13,69,0.159,46,16,66,92.7,102.5,2005
Seattle SuperSonics*,52,30,0.634,0,48,34,98.9,96.6,2005
Denver Nuggets*,49,33,0.598,3,47,35,99.5,97.5,2005
Minnesota Timberwolves,44,38,0.537,8,45,37,96.8,95.3,2005
Portland Trail Blazers,27,55,0.329,25,29,53,92.9,96.9,2005
Utah Jazz,26,56,0.317,26,29,53,93,97.3,2005
Phoenix Suns*,62,20,0.756,0,59,23,110.4,103.3,2005
Sacramento Kings*,50,32,0.61,12,47,35,103.7,101.6,2005
Los Angeles Clippers,37,45,0.451,25,39,43,95.7,96.5,2005
Golden State Warriors,34,48,0.415,28,35,47,98.7,100.9,2005
Los Angeles Lakers,34,48,0.415,28,33,49,98.7,101.7,2005
San Antonio Spurs*,59,23,0.72,0,63,19,96.2,88.4,2005
Dallas Mavericks*,58,24,0.707,1,57,25,102.5,96.8,2005
Houston Rockets*,51,31,0.622,8,53,29,95.1,91,2005
Memphis Grizzlies*,45,37,0.549,14,48,34,93.4,91.1,2005
New Orleans Hornets,18,64,0.22,41,21,61,88.4,95.5,2005
Miami Heat*,52,30,0.634,0,50,32,94.4,91.3,2006
New York Knicks*,50,32,0.61,2,46,36,92.1,90.7,2006
Philadelphia 76ers*,49,33,0.598,3,45,37,94.8,93.4,2006
Orlando Magic,41,41,0.5,11,43,39,100.1,99.4,2006
Boston Celtics,35,47,0.427,17,39,43,99.3,100.1,2006
New Jersey Nets,31,51,0.378,21,38,44,98,99,2006
Washington Wizards,29,53,0.354,23,32,50,96.6,99.9,2006
Indiana Pacers*,56,26,0.683,0,54,28,101.3,96.7,2006
Charlotte Hornets*,49,33,0.598,7,49,33,98.4,95.8,2006
Toronto Raptors*,45,37,0.549,11,41,41,97.2,97.3,2006
Milwaukee Bucks*,42,40,0.512,14,42,40,101.2,101,2006
Detroit Pistons*,42,40,0.512,14,45,37,103.5,102,2006
Cleveland Cavaliers,32,50,0.39,24,31,51,97,100.5,2006
Atlanta Hawks,28,54,0.341,28,26,56,94.3,99.7,2006
Chicago Bulls,17,65,0.207,39,15,67,84.8,94.2,2006
Utah Jazz*,55,27,0.671,0,54,28,96.5,92,2006
San Antonio Spurs*,53,29,0.646,2,58,24,96.2,90.2,2006
Minnesota Timberwolves*,50,32,0.61,5,48,34,98.5,96,2006
Dallas Mavericks,40,42,0.488,15,39,43,101.4,102,2006
Denver Nuggets,35,47,0.427,20,35,47,99,101.1,2006
Houston Rockets,34,48,0.415,21,39,43,99.5,100.3,2006
Vancouver Grizzlies,22,60,0.268,33,25,57,93.9,99.5,2006
Los Angeles Lakers*,67,15,0.817,0,64,18,100.8,92.3,2006
Portland Trail Blazers*,59,23,0.72,8,59,23,97.5,91,2006
Phoenix Suns*,53,29,0.646,14,56,26,98.9,93.7,2006
Seattle SuperSonics*,45,37,0.549,22,44,38,99.1,98.1,2006
Sacramento Kings*,44,38,0.537,23,49,33,105,102,2006
Golden State Warriors,19,63,0.232,48,20,62,95.5,103.8,2006
Los Angeles Clippers,15,67,0.183,52,13,69,92,103.5,2006
Philadelphia 76ers*,56,26,0.683,0,54,28,94.7,90.4,2006
Miami Heat*,50,32,0.61,6,48,34,88.9,86.6,2006
New York Knicks*,48,34,0.585,8,50,32,88.7,86.1,2006
Orlando Magic*,43,39,0.524,13,44,38,97.5,96.5,2006
Boston Celtics,36,46,0.439,20,35,47,94.6,96.8,2006
New Jersey Nets,26,56,0.317,30,26,56,92.1,97.1,2006
Washington Wizards,19,63,0.232,37,23,59,93.2,99.9,2006
Milwaukee Bucks*,52,30,0.634,0,52,30,100.7,96.9,2006
Toronto Raptors*,47,35,0.573,5,48,34,97.6,95.4,2006
Charlotte Hornets*,46,36,0.561,6,48,34,91.9,89.8,2006
Indiana Pacers*,41,41,0.5,11,40,42,92.6,92.8,2006
Detroit Pistons,32,50,0.39,20,36,46,95.6,97.3,2006
Cleveland Cavaliers,30,52,0.366,22,28,54,92.2,96.5,2006
Atlanta Hawks,25,57,0.305,27,26,56,91,96.2,2006
Chicago Bulls,15,67,0.183,37,16,66,87.6,96.7,2006
San Antonio Spurs*,58,24,0.707,0,63,19,96.2,88.4,2006
Utah Jazz*,53,29,0.646,5,55,27,97.1,92.4,2006
Dallas Mavericks*,53,29,0.646,5,53,29,100.5,96.2,2006
Minnesota Timberwolves*,47,35,0.573,11,45,37,97.3,96,2006
Houston Rockets,45,37,0.549,13,48,34,97.2,94.9,2006
Denver Nuggets,40,42,0.488,18,34,48,96.6,99,2006
Vancouver Grizzlies,23,59,0.28,35,25,57,91.7,97.5,2006
Los Angeles Lakers*,56,26,0.683,0,51,31,100.6,97.2,2006
Sacramento Kings*,55,27,0.671,1,57,25,101.7,95.9,2006
Phoenix Suns*,51,31,0.622,5,48,34,94,91.8,2006
Portland Trail Blazers*,50,32,0.61,6,53,29,95.4,91.2,2006
Seattle SuperSonics,44,38,0.537,12,41,41,97.3,97.3,2006
Los Angeles Clippers,31,51,0.378,25,32,50,92.5,95.3,2006
Golden State Warriors,17,65,0.207,39,17,65,92.5,101.5,2006
New Jersey Nets*,52,30,0.634,0,53,29,96.2,92,2006
Boston Celtics*,49,33,0.598,3,48,34,96.4,94.1,2006
Orlando Magic*,44,38,0.537,8,46,36,100.5,98.9,2006
Philadelphia 76ers*,43,39,0.524,9,46,36,91,89.4,2006
Washington Wizards,37,45,0.451,15,37,45,92.8,94.2,2006
Miami Heat,36,46,0.439,16,36,46,87.2,88.7,2006
New York Knicks,30,52,0.366,22,29,53,91.6,95.6,2006
Detroit Pistons*,50,32,0.61,0,48,34,94.3,92.2,2006
Charlotte Hornets*,44,38,0.537,6,44,38,93.9,92.9,2006
Indiana Pacers*,42,40,0.512,8,42,40,96.8,96.5,2006
Toronto Raptors*,42,40,0.512,8,40,42,91.4,91.8,2006
Milwaukee Bucks,41,41,0.5,9,40,42,97.5,97.7,2006
Atlanta Hawks,33,49,0.402,17,29,53,94,98.3,2006
Cleveland Cavaliers,29,53,0.354,21,31,51,95.3,98.6,2006
Chicago Bulls,21,61,0.256,29,18,64,89.5,98,2006
San Antonio Spurs*,58,24,0.707,0,59,23,96.7,90.5,2006
Dallas Mavericks*,57,25,0.695,1,53,29,105.2,101,2006
Minnesota Timberwolves*,50,32,0.61,8,51,31,99.3,96,2006
Utah Jazz*,44,38,0.537,14,44,38,96,95.1,2006
Houston Rockets,28,54,0.341,30,27,55,92.3,97.2,2006
Denver Nuggets,27,55,0.329,31,24,58,92.2,98,2006
Memphis Grizzlies,23,59,0.28,35,20,62,89.9,97.3,2006
Sacramento Kings*,61,21,0.744,0,61,21,104.6,97,2006
Los Angeles Lakers*,58,24,0.707,3,60,22,101.3,94.1,2006
Portland Trail Blazers*,49,33,0.598,12,50,32,96.6,93.7,2006
Seattle SuperSonics*,45,37,0.549,16,50,32,97.7,94.7,2006
Los Angeles Clippers,39,43,0.476,22,40,42,95.7,96.1,2006
Phoenix Suns,36,46,0.439,25,39,43,95.1,95.8,2006
Golden State Warriors,21,61,0.256,40,26,56,97.7,103.1,2006
New Jersey Nets*,49,33,0.598,0,56,26,95.4,90.1,2006
Philadelphia 76ers*,48,34,0.585,1,48,34,96.8,94.5,2006
Boston Celtics*,44,38,0.537,5,40,42,92.7,93.1,2006
Orlando Magic*,42,40,0.512,7,41,41,98.5,98.4,2006
New York Knicks,37,45,0.451,12,37,45,95.9,97.2,2006
Washington Wizards,37,45,0.451,12,38,44,91.5,92.5,2006
Miami Heat,25,57,0.305,24,25,57,85.6,90.6,2006
Detroit Pistons*,50,32,0.61,0,52,30,91.4,87.7,2006
Indiana Pacers*,48,34,0.585,2,51,31,96.8,93.3,2006
New Orleans Hornets*,47,35,0.573,3,47,35,93.9,91.8,2006
Milwaukee Bucks*,42,40,0.512,8,42,40,99.5,99.3,2006
Atlanta Hawks,35,47,0.427,15,31,51,94.1,97.6,2006
Chicago Bulls,30,52,0.366,20,27,55,95,100.1,2006
Toronto Raptors,24,58,0.293,26,24,58,90.9,96.8,2006
Cleveland Cavaliers,17,65,0.207,33,16,66,91.4,101,2006
San Antonio Spurs*,60,22,0.732,0,57,25,95.8,90.4,2006
Dallas Mavericks*,60,22,0.732,0,62,20,103,95.2,2006
Minnesota Timberwolves*,51,31,0.622,9,47,35,98.1,96,2006
Utah Jazz*,47,35,0.573,13,48,34,94.7,92.3,2006
Houston Rockets,43,39,0.524,17,46,36,93.8,92.3,2006
Memphis Grizzlies,28,54,0.341,32,32,50,97.5,100.7,2006
Denver Nuggets,17,65,0.207,43,17,65,84.2,92.4,2006
Sacramento Kings*,59,23,0.72,0,59,23,101.7,95.2,2006
Portland Trail Blazers*,50,32,0.61,9,49,33,95.2,92.5,2006
Los Angeles Lakers*,50,32,0.61,9,48,34,100.4,98,2006
Phoenix Suns*,44,38,0.537,15,44,38,95.5,94.4,2006
Seattle SuperSonics,40,42,0.488,19,41,41,92.1,92.3,2006
Golden State Warriors,38,44,0.463,21,38,44,102.4,103.6,2006
Los Angeles Clippers,27,55,0.329,32,29,53,93.8,97.9,2006
New Jersey Nets*,47,35,0.573,0,49,33,90.3,87.8,2006
Miami Heat*,42,40,0.512,5,43,39,90.3,89.7,2006
New York Knicks*,39,43,0.476,8,36,46,92,93.5,2006
Boston Celtics*,36,46,0.439,11,37,45,95.3,96.7,2006
Philadelphia 76ers,33,49,0.402,14,33,49,88,90.5,2006
Washington Wizards,25,57,0.305,22,25,57,91.8,97.4,2006
Orlando Magic,21,61,0.256,26,22,60,94,101.1,2006
Indiana Pacers*,61,21,0.744,0,58,24,91.4,85.6,2006
Detroit Pistons*,54,28,0.659,7,59,23,90.1,84.3,2006
Milwaukee Bucks*,41,41,0.5,20,44,38,98,97,2006
New Orleans Hornets*,41,41,0.5,20,41,41,91.8,91.9,2006
Cleveland Cavaliers,35,47,0.427,26,33,49,92.9,95.5,2006
Toronto Raptors,33,49,0.402,28,31,51,85.4,88.5,2006
Atlanta Hawks,28,54,0.341,33,28,54,92.8,97.5,2006
Chicago Bulls,23,59,0.28,38,23,59,89.7,96,2006
Minnesota Timberwolves*,58,24,0.707,0,57,25,94.5,89.1,2006
San Antonio Spurs*,57,25,0.695,1,62,20,91.5,84.3,2006
Dallas Mavericks*,52,30,0.634,6,53,29,105.2,100.8,2006
Memphis Grizzlies*,50,32,0.61,8,48,34,96.7,94.3,2006
Houston Rockets*,45,37,0.549,13,47,35,89.8,88,2006
Denver Nuggets*,43,39,0.524,15,44,38,97.2,96.1,2006
Utah Jazz,42,40,0.512,16,37,45,88.7,89.9,2006
Los Angeles Lakers*,56,26,0.683,0,52,30,98.2,94.3,2006
Sacramento Kings*,55,27,0.671,1,55,27,102.8,97.8,2006
Portland Trail Blazers,41,41,0.5,15,37,45,90.7,92,2006
Golden State Warriors,37,45,0.451,19,39,43,93.3,94,2006
Seattle SuperSonics,37,45,0.451,19,39,43,97.1,97.8,2006
Phoenix Suns,29,53,0.354,27,30,52,94.2,97.9,2006
Los Angeles Clippers,28,54,0.341,28,28,54,94.8,99.4,2006
Boston Celtics*,45,37,0.549,0,43,39,101.3,100.4,2006
Philadelphia 76ers*,43,39,0.524,2,39,43,99.1,99.9,2006
New Jersey Nets*,42,40,0.512,3,36,46,91.4,92.9,2006
New York Knicks,33,49,0.402,12,34,48,97.3,99.7,2006
Toronto Raptors,33,49,0.402,12,36,46,99.7,101.4,2006
Detroit Pistons*,54,28,0.659,0,53,29,93.3,89.5,2006
Chicago Bulls*,47,35,0.573,7,44,38,94.5,93.4,2006
Indiana Pacers*,44,38,0.537,10,43,39,93,92.2,2006
Cleveland Cavaliers,42,40,0.512,12,43,39,96.5,95.7,2006
Milwaukee Bucks,30,52,0.366,24,32,50,97.2,100.2,2006
Miami Heat*,59,23,0.72,0,59,23,101.5,95,2006
Washington Wizards*,45,37,0.549,14,40,42,100.5,100.8,2006
Orlando Magic,36,46,0.439,23,35,47,99.5,101.8,2006
Charlotte Bobcats,18,64,0.22,41,24,58,94.3,100.2,2006
Atlanta Hawks,13,69,0.159,46,16,66,92.7,102.5,2006
Seattle SuperSonics*,52,30,0.634,0,48,34,98.9,96.6,2006
Denver Nuggets*,49,33,0.598,3,47,35,99.5,97.5,2006
Minnesota Timberwolves,44,38,0.537,8,45,37,96.8,95.3,2006
Portland Trail Blazers,27,55,0.329,25,29,53,92.9,96.9,2006
Utah Jazz,26,56,0.317,26,29,53,93,97.3,2006
Phoenix Suns*,62,20,0.756,0,59,23,110.4,103.3,2006
Sacramento Kings*,50,32,0.61,12,47,35,103.7,101.6,2006
Los Angeles Clippers,37,45,0.451,25,39,43,95.7,96.5,2006
Golden State Warriors,34,48,0.415,28,35,47,98.7,100.9,2006
Los Angeles Lakers,34,48,0.415,28,33,49,98.7,101.7,2006
San Antonio Spurs*,59,23,0.72,0,63,19,96.2,88.4,2006
Dallas Mavericks*,58,24,0.707,1,57,25,102.5,96.8,2006
Houston Rockets*,51,31,0.622,8,53,29,95.1,91,2006
Memphis Grizzlies*,45,37,0.549,14,48,34,93.4,91.1,2006
New Orleans Hornets,18,64,0.22,41,21,61,88.4,95.5,2006
New Jersey Nets*,49,33,0.598,0,45,37,93.8,92.4,2006
Philadelphia 76ers,38,44,0.463,11,35,47,99.4,101.3,2006
Boston Celtics,33,49,0.402,16,37,45,98,99.5,2006
Toronto Raptors,27,55,0.329,22,33,49,101.1,104,2006
New York Knicks,23,59,0.28,26,24,58,95.6,102,2006
Detroit Pistons*,64,18,0.78,0,60,22,96.8,90.2,2006
Cleveland Cavaliers*,50,32,0.61,14,48,34,97.6,95.4,2006
Indiana Pacers*,41,41,0.5,23,47,35,93.9,92,2006
Chicago Bulls*,41,41,0.5,23,43,39,97.8,97.2,2006
Milwaukee Bucks*,40,42,0.488,24,38,44,97.8,98.8,2006
Miami Heat*,52,30,0.634,0,52,30,99.9,96,2006
Washington Wizards*,42,40,0.512,10,46,36,101.7,99.8,2006
Orlando Magic,36,46,0.439,16,38,44,94.9,96,2006
Atlanta Hawks,26,56,0.317,26,28,54,97.2,102,2006
Charlotte Bobcats,26,56,0.317,26,30,52,96.9,100.9,2006
Denver Nuggets*,44,38,0.537,0,42,40,100.3,100.1,2006
Utah Jazz,41,41,0.5,3,33,49,92.4,95,2006
Seattle SuperSonics,35,47,0.427,9,33,49,102.6,105.6,2006
Minnesota Timberwolves,33,49,0.402,11,35,47,91.7,93.6,2006
